train lock skipped (--allow-parallel-train)
resumed weights from checkpoints/atom_native_obligatory_hard/atom_native.pt (recorded step=3458000, legacy_surface_migrated=False, span_head_migrated=False)
atomizer pack_mode=linguistic max_span_bytes=32
dynamics on load: energy_decay=0.30000001192092896 -> 0.30000001192092896 (repaired=False, bounds=(0.3, 0.95))
field_next_packet_weight=0.05 (predict next packet features from α+atoms)
MERGE gates: enable=True coherence_thr=0.450 energy_floor=0.080
field_obligatory_hard=ON hard-v2+ (mix_floor=1.0, freeze bypass, logits=frozen+cap*(α_MLP+payload_prod))
optimizer groups: field/other lr=0.0003 (13 tensors), surface lr=0.0003 (16 tensors); energy_decay_bounds=(0.3, 0.95); field_max_rms=3.0
stream mode: 10 shard(s), chunk_bytes=1048576, loop_shards=True, stream_buffer=2048, stream_prefetch=True
optimizer restore skipped: loaded state dict contains a parameter group that doesn't match the size of optimizer's group
step=3460750 (run 2750/25000) loss=8.63313 byte_ppl=45.032 atoms=1 merges=35609 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.703 ign=0.0000 prn=nan nxp=0.094 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460800 (run 2800/25000) loss=7.44837 byte_ppl=21.574 atoms=1 merges=35659 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.700 ign=0.0000 prn=nan nxp=0.064 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460850 (run 2850/25000) loss=6.65470 byte_ppl=20.314 atoms=1 merges=35708 field=191.9998 rms=3.0000 scale=0.9986 fcos=0.698 ign=0.0000 prn=nan nxp=0.032 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460900 (run 2900/25000) loss=5.32088 byte_ppl=12.899 atoms=1 merges=35758 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.696 ign=0.0000 prn=nan nxp=0.062 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3460950 (run 2950/25000) loss=4.75550 byte_ppl=11.355 atoms=1 merges=35808 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.694 ign=0.0000 prn=nan nxp=0.060 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461000 (run 3000/25000) loss=5.28899 byte_ppl=11.575 atoms=1 merges=35858 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.691 ign=0.0000 prn=nan nxp=0.094 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461050 (run 3050/25000) loss=4.67267 byte_ppl=11.249 atoms=1 merges=35908 field=191.9998 rms=3.0000 scale=0.9985 fcos=0.689 ign=0.0000 prn=nan nxp=0.037 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461100 (run 3100/25000) loss=8.28482 byte_ppl=32.051 atoms=1 merges=35957 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.686 ign=0.0000 prn=nan nxp=0.247 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461150 (run 3150/25000) loss=1.93362 byte_ppl=1.245 atoms=1 merges=36007 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.684 ign=0.0000 prn=nan nxp=0.046 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461200 (run 3200/25000) loss=5.31830 byte_ppl=33.736 atoms=1 merges=36057 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.682 ign=0.0000 prn=nan nxp=0.075 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461250 (run 3250/25000) loss=5.80536 byte_ppl=31.165 atoms=1 merges=36107 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.678 ign=0.0000 prn=nan nxp=0.113 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461300 (run 3300/25000) loss=6.82648 byte_ppl=14.614 atoms=1 merges=36157 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.677 ign=0.0000 prn=nan nxp=0.147 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461350 (run 3350/25000) loss=10.49930 byte_ppl=34.753 atoms=1 merges=36206 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.674 ign=0.0000 prn=nan nxp=0.039 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461400 (run 3400/25000) loss=7.17318 byte_ppl=30.351 atoms=1 merges=36256 field=191.9998 rms=3.0000 scale=0.9986 fcos=0.671 ign=0.0000 prn=nan nxp=0.082 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461450 (run 3450/25000) loss=5.94617 byte_ppl=19.542 atoms=1 merges=36306 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.668 ign=0.0000 prn=nan nxp=0.017 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461500 (run 3500/25000) loss=6.83606 byte_ppl=21.369 atoms=1 merges=36356 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.666 ign=0.0000 prn=nan nxp=0.045 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461550 (run 3550/25000) loss=5.37784 byte_ppl=37.711 atoms=1 merges=36406 field=191.9998 rms=3.0000 scale=0.9986 fcos=0.665 ign=0.0000 prn=nan nxp=0.065 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461600 (run 3600/25000) loss=6.46832 byte_ppl=11.716 atoms=1 merges=36455 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.662 ign=0.0000 prn=nan nxp=0.045 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461650 (run 3650/25000) loss=7.85211 byte_ppl=36.551 atoms=1 merges=36505 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.660 ign=0.0000 prn=nan nxp=0.148 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461700 (run 3700/25000) loss=2.00805 byte_ppl=1.272 atoms=1 merges=36555 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.657 ign=0.0000 prn=nan nxp=0.103 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461750 (run 3750/25000) loss=4.06757 byte_ppl=10.219 atoms=1 merges=36605 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.655 ign=0.0000 prn=nan nxp=0.177 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461800 (run 3800/25000) loss=4.94533 byte_ppl=13.779 atoms=1 merges=36655 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.652 ign=0.0000 prn=nan nxp=0.203 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461850 (run 3850/25000) loss=5.85746 byte_ppl=8.310 atoms=1 merges=36704 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.649 ign=0.0000 prn=nan nxp=0.202 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461900 (run 3900/25000) loss=5.07731 byte_ppl=30.755 atoms=1 merges=36754 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.646 ign=0.0000 prn=nan nxp=0.061 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3461950 (run 3950/25000) loss=2.06568 byte_ppl=1.302 atoms=1 merges=36804 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.645 ign=0.0000 prn=nan nxp=0.012 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3462000 (run 4000/25000) loss=5.68072 byte_ppl=25.771 atoms=1 merges=36854 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.643 ign=0.0000 prn=nan nxp=0.056 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3462050 (run 4050/25000) loss=4.00850 byte_ppl=9.711 atoms=1 merges=36904 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.640 ign=0.0000 prn=nan nxp=0.016 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3462100 (run 4100/25000) loss=8.00833 byte_ppl=51.298 atoms=1 merges=36953 field=191.9998 rms=3.0000 scale=0.9986 fcos=0.638 ign=0.0000 prn=nan nxp=0.050 mph=0.662 bytes=524288 pkts=27462 shard=0
step=3462150 (run 4150/25000) loss=2.10204 byte_ppl=1.362 atoms=1 merges=37003 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.636 ign=0.0000 prn=nan nxp=0.068 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3462200 (run 4200/25000) loss=1.75351 byte_ppl=1.196 atoms=1 merges=37053 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.631 ign=0.0000 prn=nan nxp=0.024 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3462250 (run 4250/25000) loss=5.76642 byte_ppl=31.361 atoms=1 merges=37103 field=191.9999 rms=3.0000 scale=0.9985 fcos=0.631 ign=0.0000 prn=nan nxp=0.037 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3462300 (run 4300/25000) loss=1.85854 byte_ppl=1.232 atoms=1 merges=37153 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.627 ign=0.0000 prn=nan nxp=0.066 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3462350 (run 4350/25000) loss=7.75468 byte_ppl=38.870 atoms=1 merges=37203 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.625 ign=0.0000 prn=nan nxp=0.090 mph=0.693 bytes=524288 pkts=27462 shard=0
step=3462400 (run 4400/25000) loss=4.73781 byte_ppl=22.708 atoms=1 merges=37252 field=191.9999 rms=3.0000 scale=0.9986 fcos=0.622 ign=0.0000 prn=nan nxp=0.061 mph=0.693 bytes=524288 pkts=27462 shard=0
